SourceV	Current	Voltage
573460.2592	1.7438E-5	10
570450.65602	1.753E-5	10
567150.63521	1.7632E-5	10
564844.10303	1.7704E-5	10
562366.43797	1.7782E-5	10
559722.3777	1.7866E-5	10
558877.77343	1.7893E-5	10
556606.92419	1.7966E-5	10
553250.34578	1.8075E-5	10
551024.90633	1.8148E-5	10
548095.36859	1.8245E-5	10
543773.7901	1.839E-5	10
539374.32578	1.854E-5	10
536595.83602	1.8636E-5	10
533874.32598	1.8731E-5	10
529941.70641	1.887E-5	10
525651.80824	1.9024E-5	10
522848.47851	1.9126E-5	10
520237.22818	1.9222E-5	10
516608.97866	1.9357E-5	10
513267.97721	1.9483E-5	10
510438.46664	1.9591E-5	10
507073.6778	1.9721E-5	10
503575.38523	1.9858E-5	10
499750.12494	2.001E-5	10
496746.31166	2.0131E-5	10
493778.39226	2.0252E-5	10
490148.0247	2.0402E-5	10
486168.506	2.0569E-5	10
482113.58596	2.0742E-5	10
478743.77633	2.0888E-5	10
475285.1711	2.104E-5	10
471164.71919	2.1224E-5	10
467923.822	2.1371E-5	10
464338.78157	2.1536E-5	10
460511.1674	2.1715E-5	10
457686.85066	2.1849E-5	10
454628.1142	2.1996E-5	10
451222.81383	2.2162E-5	10
448812.88991	2.2281E-5	10
445097.25375	2.2467E-5	10
441969.41572	2.2626E-5	10
437866.71337	2.2838E-5	10
434499.23963	2.3015E-5	10
431034.48276	2.32E-5	10
427113.14227	2.3413E-5	10
422868.74154	2.3648E-5	10
419551.08034	2.3835E-5	10
415748.55527	2.4053E-5	10
412303.12526	2.4254E-5	10
408897.61204	2.4456E-5	10
405860.62746	2.4639E-5	10
402398.29383	2.4851E-5	10
398708.18548	2.5081E-5	10
394975.90647	2.5318E-5	10
390991.55458	2.5576E-5	10
386832.23086	2.5851E-5	10
382409.17782	2.615E-5	10
378802.22736	2.6399E-5	10
376038.80721	2.6593E-5	10
372079.17845	2.6876E-5	10
368337.692	2.7149E-5	10
364617.51623	2.7426E-5	10
362384.48994	2.7595E-5	10
359802.82805	2.7793E-5	10
357756.15341	2.7952E-5	10
356036.60056	2.8087E-5	10
353719.35906	2.8271E-5	10
351320.96684	2.8464E-5	10
348991.41481	2.8654E-5	10
346380.3256	2.887E-5	10
343796.19761	2.9087E-5	10
341227.05248	2.9306E-5	10
338352.22467	2.9555E-5	10
336145.7528	2.9749E-5	10
333878.66849	2.9951E-5	10
331510.02818	3.0165E-5	10
329218.107	3.0375E-5	10
326893.53078	3.0591E-5	10
324369.91145	3.0829E-5	10
322684.73701	3.099E-5	10
320893.36713	3.1163E-5	10
319458.19889	3.1303E-5	10
317591.38692	3.1487E-5	10
315686.46021	3.1677E-5	10
313971.74254	3.185E-5	10
311516.77518	3.2101E-5	10
309109.45566	3.2351E-5	10
306739.05708	3.2601E-5	10
304488.15541	3.2842E-5	10
302718.41133	3.3034E-5	10
300543.98461	3.3273E-5	10
297787.43933	3.3581E-5	10
295779.23038	3.3809E-5	10
293953.37899	3.4019E-5	10
292004.90568	3.4246E-5	10
289745.89285	3.4513E-5	10
287678.7204	3.4761E-5	10
285038.33766	3.5083E-5	10
282517.79862	3.5396E-5	10
281088.37419	3.5576E-5	10
279204.82466	3.5816E-5	10
276908.59247	3.6113E-5	10
275375.88809	3.6314E-5	10
274265.65371	3.6461E-5	10
273537.93971	3.6558E-5	10
271547.27638	3.6826E-5	10
269781.74657	3.7067E-5	10
267967.20081	3.7318E-5	10
266354.14447	3.7544E-5	10
264431.3404	3.7817E-5	10
262687.82179	3.8068E-5	10
261157.97446	3.8291E-5	10
259888.76761	3.8478E-5	10
258564.96445	3.8675E-5	10
257267.8158	3.887E-5	10
255708.69665	3.9107E-5	10
253961.80415	3.9376E-5	10
252219.53188	3.9648E-5	10
251004.01606	3.984E-5	10
249569.49263	4.0069E-5	10
247935.93335	4.0333E-5	10
246566.56064	4.0557E-5	10
245314.49318	4.0764E-5	10
244075.07749	4.0971E-5	10
242718.4466	4.12E-5	10
241785.34297	4.1359E-5	10
240946.43761	4.1503E-5	10
239928.98102	4.1679E-5	10
238674.87708	4.1898E-5	10
237710.37368	4.2068E-5	10
236412.20833	4.2299E-5	10
235089.45154	4.2537E-5	10
233803.27792	4.2771E-5	10
232899.36419	4.2937E-5	10
231744.33965	4.3151E-5	10
230648.58382	4.3356E-5	10
229668.58823	4.3541E-5	10
229084.57803	4.3652E-5	10
228305.28983	4.3801E-5	10
227174.62914	4.4019E-5	10
226060.22244	4.4236E-5	10
224638.33229	4.4516E-5	10
223603.59555	4.4722E-5	10
223049.9855	4.4833E-5	10
222128.43466	4.5019E-5	10
221101.97223	4.5228E-5	10
220055.8942	4.5443E-5	10
218866.27271	4.569E-5	10
217893.40655	4.5894E-5	10
216915.03438	4.6101E-5	10
215917.43317	4.6314E-5	10
215049.13873	4.6501E-5	10
213995.2921	4.673E-5	10
212960.79392	4.6957E-5	10
211913.79347	4.7189E-5	10
210899.27451	4.7416E-5	10
209920.85984	4.7637E-5	10
208925.28832	4.7864E-5	10
208029.95631	4.807E-5	10
207095.07735	4.8287E-5	10
206296.15877	4.8474E-5	10
205503.38053	4.8661E-5	10
204817.30297	4.8824E-5	10
203981.72324	4.9024E-5	10
203305.75152	4.9187E-5	10
202597.29735	4.9359E-5	10
201877.46038	4.9535E-5	10
200972.70791	4.9758E-5	10
200324.52573	4.9919E-5	10
199644.63255	5.0089E-5	10
199104.03186	5.0225E-5	10
198353.66458	5.0415E-5	10
197706.6034	5.058E-5	10
196873.64649	5.0794E-5	10
195974.68007	5.1027E-5	10
195247.67167	5.1217E-5	10
194401.24417	5.144E-5	10
193573.36431	5.166E-5	10
193009.20654	5.1811E-5	10
192340.98209	5.1991E-5	10
191578.22139	5.2198E-5	10
190705.03652	5.2437E-5	10
189828.9641	5.2679E-5	10
189050.21174	5.2896E-5	10
188263.64441	5.3117E-5	10
187494.14081	5.3335E-5	10
186755.31319	5.3546E-5	10
186060.35798	5.3746E-5	10
185322.46108	5.396E-5	10
184682.43855	5.4147E-5	10
184070.53583	5.4327E-5	10
183432.38682	5.4516E-5	10
